Letter,64-Bit Vector,Font Number
U,1100011011000110110001101100011011000110110001101100011001111100,3
U,1100011011000110110001101100011011000110110001101111111001111100,4
U,1000000110000001100000011000000110000001100000011000000101111110,5
V,1000000110000001010000010100001001000100010010000100100001000110,1
V,1100001111000011110000111100001101100110011001100011110000011000,2
V,1100011011000110110001101100011001101100001110000011100000010000,3
V,1100011011000110110001101100011011000110011011000011100000010000,4
V,1000000110000001100000011000000101000010010000100010010000011000,5
W,1000000110000011100001110100001010010101000101001000010010000100,1
W,1100001111000011110000111101101111011011111111111110011111000011,2
W,1100011011000110110001101101011011111110110101101100011011000110,3
W,1100011011000110110001101101011011010110111111100110110001000100,4
W,1000000110000001100000011000000110011001101001010100001001000010,5
X,1000000101000010001001000001000101101001000100100001000001100001,1
X,1100001101100110001111000001100000011000001111000110011011000011,2
X,1100011011000110011011000011100001101100110001101100011011000110,3
X,1100011011000110011011000011100000111000011011001100011011000110,4
X,1000000101000010001001000001100000011000001001000100001010000001,5
Y,1000000101000010001001000001100110110001100001100001100001000110,1
Y,1100001111000011011001100011110000011000000110000001100000011000,2
Y,1100011011000110011011000011100000111000001110000011100000111000,3
Y,1100011011000110011011000011100000111000001110000011100000111000,4
Y,1000000101000010001001000001100000011000000110000001100000011000,5
Z,1111111000000100000010000010000100001000001000010000010000111111,1
Z,1111111100000111000011100001110000111000011100001110000011111111,2
Z,1111111000001110000111000011100001110000111000001100000011111110,3
Z,1111111011111110000011000001100000110000011000001111111011111110,4
Z,1111111100000110000010000001000000100000010000001000000011111111,5
